Data,Valoare EUR (exprimată in lei)
22.02.2022,4.9458
23.02.2022,4.9463
24.02.2022,4.9489
25.02.2022,4.9479
26.02.2022,
27.02.2022,
28.02.2022,4.9480
01.03.2022,4.9487
02.03.2022,4.9490
03.03.2022,4.9489
04.03.2022,4.9491
05.03.2022,
06.03.2022,
07.03.2022,4.9490
08.03.2022,4.9492
09.03.2022,4.9490
10.03.2022,4.9488
11.03.2022,4.9489
12.03.2022,
13.03.2022,
14.03.2022,4.9490
15.03.2022,4.9487
16.03.2022,4.9476
17.03.2022,4.9461
18.03.2022,4.9481
19.03.2022,
20.03.2022,
21.03.2022,4.9474
22.03.2022,4.9452
23.03.2022,4.9459
24.03.2022,4.9490
25.03.2022,4.9489
26.03.2022,
27.03.2022,
28.03.2022,4.9483
29.03.2022,4.9475
30.03.2022,4.9470
31.03.2022,4.9466
01.04.2022,4.9454
02.04.2022,
03.04.2022,
04.04.2022,4.9437
05.04.2022,4.9431
06.04.2022,4.9447
07.04.2022,4.9426
08.04.2022,4.9419
09.04.2022,
10.04.2022,
11.04.2022,4.9409
12.04.2022,4.9412
13.04.2022,4.9413
14.04.2022,4.9443
15.04.2022,4.9432
16.04.2022,
17.04.2022,
18.04.2022,4.9416
19.04.2022,4.9415
20.04.2022,4.9422
21.04.2022,4.9441
22.04.2022,
23.04.2022,
24.04.2022,
25.04.2022,
26.04.2022,4.9457
27.04.2022,4.9474
28.04.2022,4.9475
29.04.2022,4.9480
30.04.2022,
01.05.2022,
02.05.2022,4.9476
03.05.2022,4.9469
04.05.2022,4.9471
05.05.2022,4.9486
06.05.2022,4.9490
07.05.2022,
08.05.2022,
09.05.2022,4.9469
10.05.2022,4.9457
11.05.2022,4.9479
12.05.2022,4.9480
13.05.2022,4.9458
14.05.2022,
15.05.2022,
16.05.2022,4.9469
17.05.2022,4.9477
18.05.2022,4.9472
19.05.2022,4.9474
20.05.2022,4.9477
21.05.2022,
22.05.2022,
23.05.2022,4.9472
24.05.2022,4.9457
25.05.2022,4.9417
26.05.2022,4.9423
27.05.2022,4.9429
28.05.2022,
29.05.2022,
30.05.2022,4.9438
31.05.2022,4.9430
01.06.2022,
02.06.2022,4.9411
03.06.2022,4.9427
04.06.2022,
05.06.2022,
06.06.2022,4.9419
07.06.2022,4.9426
08.06.2022,4.9456
09.06.2022,4.9454
10.06.2022,4.9432
11.06.2022,
12.06.2022,
13.06.2022,
14.06.2022,4.9439
15.06.2022,4.9449
16.06.2022,4.9443
17.06.2022,4.9472
18.06.2022,
19.06.2022,
20.06.2022,4.9448
21.06.2022,4.9475
22.06.2022,4.9469
23.06.2022,4.9464
24.06.2022,4.9471
25.06.2022,
26.06.2022,
27.06.2022,4.9459
28.06.2022,4.9457
29.06.2022,4.9430
30.06.2022,4.9454
01.07.2022,4.9461
02.07.2022,
03.07.2022,
04.07.2022,4.9448
05.07.2022,4.9449
06.07.2022,4.9454
07.07.2022,4.9451
08.07.2022,4.9439
09.07.2022,
10.07.2022,
11.07.2022,4.9430
12.07.2022,4.9411
13.07.2022,4.9414
14.07.2022,4.9418
15.07.2022,4.9408
16.07.2022,
17.07.2022,
18.07.2022,4.9390
19.07.2022,4.9395
20.07.2022,4.9399
21.07.2022,4.9391
22.07.2022,4.9324
23.07.2022,
24.07.2022,
25.07.2022,4.9310
26.07.2022,4.9328
27.07.2022,4.9337
28.07.2022,4.9353
29.07.2022,4.9351
30.07.2022,
31.07.2022,
01.08.2022,4.9287
02.08.2022,4.9262
03.08.2022,4.9252
04.08.2022,4.9263
05.08.2022,4.9264
06.08.2022,
07.08.2022,
08.08.2022,4.9210
09.08.2022,4.9050
10.08.2022,4.9132
11.08.2022,4.9090
12.08.2022,4.8909
13.08.2022,
14.08.2022,
15.08.2022,
16.08.2022,4.8831
17.08.2022,4.8849
18.08.2022,4.8793
19.08.2022,4.8806
20.08.2022,
21.08.2022,
22.08.2022,4.8853
23.08.2022,4.8851
24.08.2022,4.8818
25.08.2022,4.8756
26.08.2022,4.8734
27.08.2022,
28.08.2022,
29.08.2022,4.8707
30.08.2022,4.8652
31.08.2022,4.8605
01.09.2022,4.8525
02.09.2022,4.8344
03.09.2022,
04.09.2022,
05.09.2022,4.8215
06.09.2022,4.8287
07.09.2022,4.8580
08.09.2022,4.8707
09.09.2022,4.8936
10.09.2022,
11.09.2022,
12.09.2022,4.9047
13.09.2022,4.9216
14.09.2022,4.9247
15.09.2022,4.9259
16.09.2022,4.9253
17.09.2022,
18.09.2022,
19.09.2022,4.9226
20.09.2022,4.9313
21.09.2022,4.9436
22.09.2022,4.9412
23.09.2022,4.9437
24.09.2022,
25.09.2022,
26.09.2022,4.9427
27.09.2022,4.9437
28.09.2022,4.9479
29.09.2022,4.9486
30.09.2022,4.9490
01.10.2022,
02.10.2022,
03.10.2022,4.9480
04.10.2022,4.9471
05.10.2022,4.9419
06.10.2022,4.9366
07.10.2022,4.9410
08.10.2022,
09.10.2022,
10.10.2022,4.9395
